When the Spike Happens,Topic,Topic Number,TF-IDF Keywords,Non-TF-IDF Keywords,Prominent Tone,Prominent Key Person Affiliation
2022-01,Presidential Activities and Statements,9,"jokowi, nama, presiden, istana, negara, nusantara, ikn, pimpin, desain, pilih, kantor, tuju, nyoman, prabowo, arsitek, calon, jakarta, suharso, nuarta, daerah, najam, gedung, media, paser, harap, proses, transformasi, alas, redaksi, rancang, dies, universitas, tahap, garuda, parahyangan, natalis, final, katolik, sekretariat, putus, lokasi, sambut, enam, ungkap, kriteria, isi, sekber, latar, unpar, youtube","jokowi, presiden, negara, ikn, istana, nama, nusantara, desain, tuju, pimpin, jakarta, pilih, calon, kantor, rancang, najam, suharso, paser, undang, daerah, sambut, gedung, apbn, lokasi, karya, harap, nasional, pusat, wakil, kutip, sebut, ri, utama, proses, dana, acara, wilayah, ketua, edy, mulyadi, buka, resmi, nilai, tahap, kabupaten, ruu, milik, ppu, masyarakat, uu",Neutral,Government
2022-03,Presidential Activities and Statements,9,"jokowi, ikn, kemah, presiden, nusantara, titik, gubernur, nol, negara, tenda, malam, lokasi, iriana, air, kendi, tanah, sekretariat, istana, jakarta, satu, najam, prosesi, paser, ritual, maret, kawasan, provinsi, inap, tni, heru, hutan, paku, giat, bambang, kilometer, gelar, wakil, sarung, kabupaten, jadwal, balikpapan, ri, budi, acara, siap, daerah, dhony, tanam, polri, foto","jokowi, ikn, presiden, nusantara, negara, titik, nol, gubernur, lokasi, air, tanah, satu, tni, jakarta, najam, paser, istana, kawasan, bambang, provinsi, paku, hutan, wakil, pimpin, ri, gelar, giat, acara, ketua, kabupaten, daerah, undang, jabat, balikpapan, susantono, anies, siap, rapat, masyarakat, kunjung, hadir, basuki, camat, sambut, terang, terima, jalan, kutip, sebut, pupr",Neutral,Government
2022-06,Presidential Activities and Statements,9,"jokowi, ikn, presiden, nusantara, puan, istana, negara, subsidi, jalan, bendung, desain, undang, semai, kunjung, dasar, mentawir, dpr, paku, semoi, uu, lanjut, maharani, ketua, juli, kongres, tinjau, nyoman, energi, pmkri, buka, dukung, balikpapan, samarinda, xxxii, bbm, titik, paser, tol, jakarta, nya, najam, terang, ri, pdip, kabupaten, bandara, utama, megawati, provinsi, capres","jokowi, ikn, presiden, nusantara, negara, istana, kunjung, titik, ketua, undang, dpr, desain, nol, paser, jalan, najam, paku, ri, dukung, lingkung, laksana, kawasan, kabupaten, dasar, lanjut, jakarta, nasional, buka, lokasi, partai, provinsi, pimpin, balikpapan, kutip, sesuai, hutan, gelar, terang, acara, uu, harap, rp, milik, masyarakat, persen, hadir, nama, utama, infrastruktur, bambang",Neutral,Government
2022-08,Presidential Activities and Statements,9,"jokowi, ikn, presiden, nusantara, istana, negara, groundbreaking, agustus, batu, kunjung, asn, heru, mpr, leta, lanjut, pidato, kantor, ri, upacara, sidang, sekretariat, tahun, titik, budi, breaking, ground, jadwal, hartono, inovator, wirausahawan, nol, jakarta, jaga, bambang, pusat, tengah, hadir, najam, paser, rimba, lantik, prabowo, kasetpres, kabar, dunia, batal, pupr, intensitas, tingkat, aparatur","jokowi, ikn, presiden, nusantara, negara, istana, groundbreaking, ri, lanjut, titik, jakarta, nol, dpr, kantor, asn, kunjung, pusat, dukung, dunia, ketua, bambang, basuki, apbn, investasi, kawasan, program, pupr, pimpin, hadir, jalan, najam, paser, gelar, anggar, gedung, lokasi, persen, susantono, nilai, rp, laksana, acara, siap, milik, rumah, triliun, badan, rakyat, sebut, proses",Neutral,Government
2022-10,Presidential Activities and Statements,9,"jokowi, ikn, nusantara, presiden, istana, negara, gedung, luncur, jagat, jalur, basuki, investor, januari, kunjung, kontrak, pekan, progres, investasi, ajak, sirkuit, hut, jakarta, kawasan, digital, balikpapan, upacara, ri, halaman, pusat, platform, tinjau, kapal, infrastruktur, pasar, laut, agustus, oktober, hutan, djakarta, mpr, logistik, acara, video, damping, dering, versi, pupr, gelar, sempat, bisik","jokowi, ikn, presiden, nusantara, negara, istana, balikpapan, kunjung, jakarta, investor, gedung, kawasan, infrastruktur, basuki, investasi, ri, jalan, pusat, paser, acara, hutan, sambut, najam, pupr, gelar, usaha, lahan, kembang, resmi, kabupaten, dunia, hadir, kutip, milik, bambang, terang, titik, persen, ketua, harap, paku, provinsi, nol, undang, lokasi, masyarakat, rakyat, buka, rumah, jawa",Neutral,Government
2023-01,Presidential Activities and Statements,9,"jokowi, presiden, ikn, pemuda, istana, muhammadiyah, nusantara, investor, kazakhstan, nanto, fadjroel, basuki, jakarta, cak, negara, muktamar, ajak, februari, gempa, bmkg, januari, undang, kunjung, rachman, anwar, ibrahim, sunanto, lokasi, pupr, ri, pusat, bahas, dubes, ketua, malaysia, buka, rumah, bogor, tum, cita, sambut, merdeka, hadimuljono, datang, gelar, mentawir, reshuffle, pasu, bas, rakyat","jokowi, ikn, presiden, nusantara, istana, negara, jakarta, dukung, basuki, investor, undang, ketua, kunjung, ri, bahas, pupr, nasional, hadir, pusat, investasi, sambut, acara, tni, rumah, gelar, pimpin, dunia, rakyat, lokasi, terima, resmi, terang, titik, buka, kawasan, target, wakil, milik, masyarakat, nol, kembang, salah, proses, jawa, barat, infrastruktur, badan, rancang, paser, wilayah",Neutral,Government
2023-02,Presidential Activities and Statements,9,"jokowi, ikn, presiden, nusantara, negara, malam, jakarta, kawasan, iriana, istana, inap, lokasi, ri, pusat, pssi, karno, kunjung, rumah, milik, tinjau, februari, kipp, huni, inti, makan, stadion, training, calon, bola, center, muhammadiyah, muktamar, investor, sepak, upacara, konstruksi, gagas, santap, andrinof, semai, pemuda, basuki, ajak, erick, mentawir, bambang, titik, gubernur, balikpapan, timnas","jokowi, ikn, presiden, nusantara, kawasan, negara, jakarta, pusat, istana, lokasi, kunjung, paser, ri, najam, kabupaten, rumah, milik, balikpapan, infrastruktur, titik, gubernur, resmi, buka, calon, bambang, nol, jalan, target, provinsi, hadir, hutan, biaya, dukung, lahan, paku, investor, dpr, harap, terang, lingkung, basuki, hasil, siap, susantono, sambut, pupr, ketua, masyarakat, gelar, rakyat",Neutral,Government
2023-05,Presidential Activities and Statements,9,"logo, jokowi, pohon, ikn, hayat, presiden, pilih, nusantara, resmi, umum, cawe, negara, hidup, akbar, aulia, istana, masyarakat, desain, harap, filosofi, jakarta, makna, sore, tema, rakyat, visual, identitas, karya, inspirasi, voting, sekretariat, luncur, sumber, cipta, sayembara, desainer, media, akun, agustus, proses, partai, bangsa, hasil, ri, milih, youtube, asn, milu, orang, politik","jokowi, ikn, presiden, nusantara, negara, pilih, resmi, istana, desain, jakarta, masyarakat, jalan, harap, karya, rakyat, milik, lanjut, investasi, sumber, pimpin, ri, partai, asn, hasil, orang, undang, proses, sambut, ketua, kutip, hadir, dasar, terima, anies, dukung, bahas, lingkung, nilai, acara, wakil, nama, investor, ganjar, bambang, nyata, cepat, bentuk, persen, pusat, pupr",Neutral,Government
2023-08,Presidential Activities and Statements,9,"upacara, jokowi, ikn, nusantara, ri, hut, presiden, istana, merdeka, jakarta, negara, besar, agustus, dunia, gelar, pimpin, ingat, laksana, bilah, bambang, raya, bey, detik, target, mpr, usaha, rocky, pakai, rei, estate, real, basuki, pers, sebut, hadir, allah, insya, progres, nama, baju, sentra, adat, nasional, butet, republik, buka, gerung, kirim, tari, klaim","jokowi, ikn, presiden, nusantara, ri, jakarta, istana, negara, gelar, laksana, dunia, pimpin, bambang, hadir, sebut, dki, pusat, lahan, nasional, usaha, susantono, jalan, target, salah, terang, satu, listrik, nyata, undang, resmi, harap, nama, basuki, buka, sri, wakil, masyarakat, program, lokasi, terima, najam, paser, kawasan, acara, investasi, uang, milik, ketua, selatan, kunjung",Neutral,Government
2023-09,Presidential Activities and Statements,9,"jokowi, presiden, ikn, nusantara, istana, groundbreaking, kantor, garuda, negara, pohon, tinjau, hotel, tanam, bilah, pasang, basuki, batu, leta, malam, kawasan, sri, paser, mulyani, pule, kunjung, jalan, najam, september, kabupaten, pupr, progres, semai, hadir, usaha, ajak, latih, rumah, pusat, jakarta, target, kaesang, bawa, mentawir, momen, provinsi, dunia, acara, hadimuljono, sarap, jadwal","jokowi, ikn, presiden, nusantara, istana, negara, groundbreaking, kantor, basuki, paser, najam, kawasan, hadir, kunjung, jalan, pupr, kabupaten, sri, pusat, acara, investor, rumah, terima, resmi, sambut, jakarta, provinsi, investasi, milik, usaha, target, nasional, kutip, dunia, giat, harap, kembang, infrastruktur, dukung, bambang, ri, persen, lokasi, sebut, fasilitas, cepat, terang, susantono, uang, rp",Neutral,Government
