When the Spike Happens,Topic,Topic Number,TF-IDF Keywords,Non-TF-IDF Keywords,Prominent Tone,Prominent Key Person Affiliation
2020-04,Coordination and Government Programs,5,"said, luhut, didu, hukum, klarifikasi, tuntut, jodi, binsar, pandjaitan, maaf, ngotot, muhammad, koordinator, investasi, mantan, ikn, bumn, jalur, bidang, maritim, negara, surat, sekretaris, mulyani, sri, uang, kritik, dana, utang, beban, ganggu, indrawati, tambah, nyata, laksana, tugas, proses, bijak, covid, tangan, terus, lanjut, habiburokhman, penting, hubung, prioritas, bicara, juru, mahardi, layang","luhut, ikn, investasi, uang, negara, bidang, sri, dana, nyata, tugas, laksana, provinsi, jalan, hubung, rakyat, proses, lanjut, dasar, siap, rumah, terima, jenderal, jabat, usaha, nilai, milik, terang, kabupaten, ri, nomor, resmi, nama, masyarakat, program, biaya, atur, anggar, anggota, komisi, dpr, undang, khusus, salah, dukung, daerah, gubernur, bentuk, sesuai, kunjung, sebut",Negative,Government
2021-08,Coordination and Government Programs,5,"mpr, negara, pphn, ri, pokok, undang, kaji, periode, ketua, bambang, soesatyo, the, uud, haluan, bamsoet, bulungan, amandemen, buka, dasar, sidang, republik, nasional, harap, tahun, pidato, amendemen, hasil, tani, arah, filosofis, sifat, ikn, batas, landas, strategis, tetap, rekomendasi, dpr, masyarakat, of, dukung, partai, urgensi, ubah, aspirasi, daerah, singgung, maktub, misi, tindak","negara, ri, the, undang, ketua, bambang, dasar, nasional, buka, dpr, ubah, of, ikn, daerah, hasil, city, bentuk, masyarakat, persen, provinsi, khusus, uang, kembang, jakarta, tahap, milik, butuh, gedung, harap, negeri, lokasi, salah, program, bidang, satu, sebut, sambut, tol, rakyat, terima, laksana, terang, wilayah, utama, dukung, partai, dki, infrastruktur, hadir, nilai",Neutral,Government
2022-01,Coordination and Government Programs,5,"the, of, mpr, capital, ri, to, ikn, city, is, on, said, pilar, in, new, for, that, bamsoet, head, have, who, authority, president, sosialisasi, one, east, negara, state, kamil, ridwan, and, bangsa, be, january, fapetkan, untad, will, ahok, maritim, government, expert, pusat, not, development, jokowi, momentum, sdgs, or, ketua, dukung, budget","the, of, ikn, city, ri, negara, nusantara, ketua, presiden, jokowi, anggota, jakarta, hadir, bambang, suharso, dpr, bappenas, bahas, istana, pusat, dukung, proses, milik, dunia, wakil, luhut, balikpapan, oikn, terang, gelar, tingkat, nasional, lahan, giat, acara, ruu, nama, program, siap, jalan, selatan, harap, masuk, daerah, usaha, uu, pupr, basuki, target, edy",Positive,Government
2022-03,Coordination and Government Programs,5,"blair, tony, luhut, the, ikn, jokowi, presiden, inggris, arab, saudi, investasi, negara, nusantara, of, menko, softbank, bahas, bin, maritim, binsar, bambang, pm, arah, pandjaitan, masayoshi, bidang, beliau, bogor, istana, pangeran, mahkota, dewan, marves, dana, koordinator, putra, mantan, susantono, in, and, kunjung, salman, perdana, capital, mohammed, erick, lapor, mbs, new, bantu","ikn, luhut, the, nusantara, negara, investasi, of, presiden, jokowi, bidang, kunjung, bambang, bahas, city, istana, susantono, terima, hasil, ri, dana, ketua, jawa, jakarta, tim, khusus, dukung, barat, terang, jalan, milik, kembang, air, undang, kabupaten, salah, satu, badan, masyarakat, najam, paser, investor, gubernur, nilai, sebut, negeri, program, buka, usaha, warga, gelar",Neutral,Government
2022-06,Coordination and Government Programs,5,"ikn, blair, tony, airlangga, golkar, dukung, the, partai, nusantara, negara, komitmen, undang, bantu, bambang, hartarto, ketua, inggris, presiden, bamsoet, oikn, luhut, for, mantan, kuat, one, susantono, menko, masyarakat, jakarta, investasi, internasional, hukum, perdana, didik, of, global, bahas, perhati, sedia, tani, khusus, program, to, kunjung, selandia, laksana, donggala, potensi, pm, ppu","ikn, nusantara, the, luhut, negara, presiden, of, dukung, bambang, undang, kunjung, partai, jokowi, ketua, investasi, jakarta, bahas, terima, susantono, bidang, ri, oikn, tingkat, nasional, masyarakat, dunia, khusus, program, bentuk, city, ppu, harap, proses, laksana, investor, najam, paser, lokasi, milik, dpr, tim, persen, provinsi, hadir, dana, suharso, cepat, pusat, masuk, sebut",Positive,Government
2022-08,Coordination and Government Programs,5,"sepak, ikn, bola, presiden, nusantara, latih, menpora, fasilitas, pusat, jokowi, ketua, pssi, training, bamsoet, olahraga, negara, amal, mpr, center, iriawan, zainudin, mochamad, lengkap, istana, nasional, bambang, merdeka, ganti, pokok, pemuda, arah, jakarta, soesatyo, terima, ri, utama, satu, kembang, dukung, beliau, sepakbola, masyarakat, olimpiade, rumah, luhut, jalan, tahun, camp, pimpin, tuan","ikn, nusantara, presiden, ketua, negara, pusat, jokowi, the, fasilitas, nasional, bambang, jakarta, kembang, masyarakat, dukung, istana, siap, ri, satu, utama, jalan, of, terima, program, buka, kawasan, pimpin, city, lanjut, butuh, harap, terang, laksana, masuk, rumah, tahap, tim, sambut, sumber, rakyat, luhut, salah, tanah, kutip, tni, dpr, bentuk, daerah, sebut, nyata",Neutral,Government
2022-10,Coordination and Government Programs,5,"blair, tony, jokowi, promosi, ikn, presiden, internasional, luhut, nusantara, pemuda, bantu, dunia, negara, inggris, istana, dewan, nasihat, investasi, merdeka, terima, binsar, pandjaitan, damping, pm, koordinator, maritim, menko, mantan, bidang, jakarta, ingat, perdana, sumpah, marves, pratikno, sekretaris, tawar, agenda, kemenpora, hsp, giat, oktober, satu, pmii, pb, terang, ri, the, nasional, pimpin","ikn, nusantara, jokowi, presiden, negara, luhut, the, dunia, istana, nasional, ketua, investasi, jakarta, terima, bidang, laksana, titik, ri, nol, giat, of, city, gelar, pimpin, acara, paser, bambang, hadir, sambut, satu, terang, kabupaten, najam, kutip, wakil, bahas, milik, provinsi, kembang, salah, dukung, badan, usaha, resmi, balikpapan, lanjut, dpr, investor, jabat, tahap",Positive,Government
2023-02,Coordination and Government Programs,5,"ikn, erick, bola, sepak, thohir, latih, presiden, pssi, jokowi, pusat, bamsoet, fifa, nusantara, lapang, training, center, buka, timnas, bidang, ketua, biaya, muhammadiyah, program, kawasan, deputi, the, pemuda, lokasi, muktamar, negara, syarat, sepakbola, sistem, shin, tae, yong, pegawai, nasional, dukung, ajak, mpr, internasional, pena, masyarakat, lamar, amal, persepakbolaan, percaya, resmi, tutup","ikn, presiden, nusantara, the, jokowi, pusat, ketua, of, biaya, buka, negara, kawasan, jakarta, dukung, nasional, balikpapan, program, bidang, ri, resmi, pimpin, terang, hadir, lokasi, gelar, dki, bambang, lanjut, tingkat, infrastruktur, harap, dunia, tni, masyarakat, satu, siap, rapat, rakyat, jabat, najam, paser, rp, triliun, city, kutip, calon, milik, wakil, ppu, tugas",Neutral,Government
2023-05,Coordination and Government Programs,5,"luhut, ikn, investasi, cepat, nusantara, tugas, ketua, jokowi, menko, presiden, tim, erick, satgas, monas, jakarta, force, task, maritim, tanah, pandjaitan, marves, bidang, bambang, koordinator, negara, thohir, bentuk, binsar, khusus, center, city, oikn, kawasan, susantono, satu, bumn, lembaga, koordinasi, dukung, tuai, tingkat, proses, realisasi, jalan, aset, pimpin, alumni, efisien, investor, mengkoordinir","ikn, luhut, investasi, nusantara, cepat, jokowi, tugas, presiden, ketua, jakarta, negara, bidang, bambang, tim, khusus, bentuk, susantono, satu, the, tanah, city, kawasan, tingkat, oikn, dukung, jalan, proses, jabat, terang, pimpin, masyarakat, investor, siap, milik, resmi, butuh, nasional, of, usaha, badan, sesuai, dki, kunjung, kutip, ri, salah, istana, rapat, laksana, selatan",Positive,Government
2023-06,Coordination and Government Programs,5,"luhut, ikn, awas, asing, bule, nusantara, kualitas, investasi, jokowi, tenaga, presiden, cepat, menko, pakai, maritim, mandor, negara, bidang, koordinator, pandjaitan, dpr, marves, tugas, binsar, lokal, alas, ri, ketua, guna, bagus, aku, orang, istana, kritik, rapat, sdm, jakarta, tanah, lapor, bal, anggar, badan, tka, pimpin, kaltara, kembang, usul, jamin, banggar, negeri","ikn, luhut, nusantara, investasi, negara, bidang, presiden, cepat, jokowi, ri, ketua, dpr, jakarta, orang, istana, tugas, buka, tanah, kembang, jalan, negeri, badan, rapat, the, masyarakat, anggar, warga, nasional, pimpin, infrastruktur, sumber, tim, program, nilai, gedung, tingkat, of, hasil, sesuai, pusat, pilih, satu, oikn, nyata, acara, atur, tuju, kutip, sebut, investor",Positive,Government
2023-09,Coordination and Government Programs,5,"fifa, erick, ikn, bola, presiden, the, sepak, thohir, training, center, latih, pusat, jokowi, tc, pssi, nasional, nusantara, groundbreaking, timnas, national, dana, rp, in, asia, tim, dukung, sepakbola, ketua, bantu, miliar, gianni, of, dunia, percaya, terima, batik, to, kasih, sempat, selamat, infantino, and, maju, seni, budaya, internasional, komitmen, piala, tenggara, prestasi","ikn, the, nusantara, of, presiden, jokowi, pusat, nasional, jakarta, groundbreaking, ketua, rp, dana, tim, negara, dunia, dukung, kantor, milik, masyarakat, terima, buka, resmi, investasi, usaha, fasilitas, city, luhut, satu, bidang, hadir, acara, kembang, bambang, oikn, direktur, gelar, wakil, harap, tanah, cepat, hasil, rumah, program, kawasan, tingkat, jabat, ppu, kunjung, butuh",Positive,Government
2023-11,Coordination and Government Programs,5,"tani, the, ikn, nusantara, latih, budaya, in, oikn, sdm, tingkat, presiden, of, ketenagakerjaan, buka, fifa, suluh, jokowi, to, pangan, negara, daya, dunia, kantor, and, kompetensi, masyarakat, kemnaker, bpjs, groundbreaking, hadir, produktivitas, program, bola, menaker, deputi, dukung, kembang, pusat, wilayah, harap, paser, sepak, lokal, batik, cap, dudi, kukar, tan, jambore, damping","ikn, the, nusantara, of, jokowi, presiden, oikn, tingkat, masyarakat, negara, buka, hadir, pusat, groundbreaking, harap, city, bidang, program, paser, kabupaten, dukung, najam, kembang, jakarta, kantor, laksana, luhut, dunia, camat, nasional, gelar, wilayah, paku, salah, jalan, giat, sumber, kawasan, milik, lingkung, air, usaha, badan, utama, investasi, warga, lanjut, hasil, provinsi, tugas",Positive,Government
2021-04,Financial Investments and Large-scale Projects,6,"karya, rp, adhi, anggar, negara, uang, hari, makan, ikn, miliar, triliun, persen, entus, mulyani, sri, sheikh, swasta, bumn, capai, pt, infrastruktur, nama, presiden, jokowi, libat, bin, usaha, belanja, mbz, transaksi, bappenas, suharso, apbn, tol, utama, kl, garap, alutsista, asnawi, direktur, mukhson, total, kontrak, oleh, istana, tumbuh, tunjang, turun, isran, noor","karya, ikn, rp, anggar, negara, pt, triliun, uang, persen, sri, presiden, utama, nama, capai, infrastruktur, usaha, tol, jalan, jokowi, direktur, istana, apbn, jakarta, bappenas, suharso, harap, dana, undang, investor, milik, listrik, salah, groundbreaking, biaya, kawasan, ri, kabupaten, dasar, lanjut, masuk, sebut, siap, pupr, nasional, butuh, hasil, provinsi, tahap, camat, khusus",Neutral,Government
2021-06,Financial Investments and Large-scale Projects,6,"anggar, target, ikn, negara, rp, pupr, triliun, pagu, butuh, capai, indikatif, bappenas, air, ana, persen, hitung, total, tahap, nilai, rumah, uang, basuki, hadimuljono, ri, biaya, giat, serap, catat, buka, populasi, operasional, bebs, bahas, kabinet, papar, tingkat, turut, usul, apbn, dpr, komisi, tembus, masuk, suharso, dana, juni, xi, estate, cipta, karya","anggar, ikn, rp, triliun, target, negara, butuh, pt, pupr, capai, listrik, infrastruktur, air, direktur, apbn, persen, jakarta, biaya, bappenas, tahap, milik, ri, dana, rumah, komisi, dpr, investasi, kembang, utama, nilai, karya, wilayah, basuki, giat, rakyat, uang, masuk, suharso, rapat, usaha, of, sumber, masyarakat, dukung, provinsi, siap, buka, bahas, tingkat, nasional",Neutral,Neutral
2022-01,Financial Investments and Large-scale Projects,6,"ikn, apbn, dana, rp, anggar, triliun, negara, butuh, nusantara, transportasi, alokasi, persen, porsi, istana, biaya, skema, pupr, bendung, kontrak, jakarta, miliar, pen, tahap, usaha, paku, capai, infrastruktur, kawasan, uang, pp, budi, badan, karya, bappenas, pt, presiden, airlangga, swasta, semoi, mulyani, sri, siap, waskita, suharso, bumn, dapat, nilai, najam, belanja, rumah","ikn, negara, apbn, rp, anggar, triliun, dana, butuh, nusantara, persen, jokowi, biaya, paku, usaha, pupr, rumah, jakarta, infrastruktur, presiden, istana, capai, uang, kawasan, karya, badan, pt, sri, milik, bappenas, najam, rakyat, paser, dasar, target, air, jalan, tahap, nilai, suharso, tanah, dukung, hubung, dpr, basuki, undang, nasional, siap, tingkat, sesuai, wilayah",Neutral,Government
2022-08,Financial Investments and Large-scale Projects,6,"rp, triliun, ikn, anggar, pupr, nusantara, paket, kontrak, basuki, rumah, infrastruktur, negara, konstruksi, dana, rusun, tambah, alokasi, ditjen, total, dasar, nilai, apbn, jenderal, miliar, jalan, rakyat, hadimuljono, olimpiade, butuh, rincian, pagu, tahap, uang, dpr, karya, komisi, penandatanganan, belanja, isa, jakarta, direktorat, rapat, orang, persen, tower, capai, swasta, laksana, kawasan, direktur","ikn, rp, triliun, anggar, pupr, nusantara, rumah, negara, infrastruktur, dana, nilai, rakyat, basuki, jenderal, apbn, jalan, tahap, karya, dasar, persen, uang, butuh, kawasan, dukung, presiden, sumber, air, orang, siap, jakarta, direktur, capai, pt, pusat, laksana, jokowi, proses, dpr, komisi, sesuai, bambang, fasilitas, tugas, investasi, ketua, calon, terang, target, rapat, giat",Neutral,Government
2022-10,Financial Investments and Large-scale Projects,6,"ikn, bendung, nusantara, rp, paku, air, triliun, karya, presiden, baku, sedia, semoi, adhi, pt, basuki, pupr, kontrak, infrastruktur, sungai, persero, tbk, negara, bumn, gedung, rumah, waskita, istana, intake, persen, usaha, kawasan, dukung, pp, tender, capai, konstruksi, miliar, butuh, milik, tambah, tol, nila, banjir, kendali, batu, lepek, selamayu, najam, paser, hermina","ikn, nusantara, rp, karya, air, triliun, paku, pt, presiden, negara, kawasan, infrastruktur, pupr, gedung, basuki, dukung, rumah, istana, butuh, dasar, persen, usaha, milik, capai, jalan, tol, najam, paser, nilai, kembang, kabupaten, target, jokowi, dana, investasi, tahap, salah, badan, listrik, investor, direktur, pusat, wilayah, camat, utama, jakarta, rakyat, sesuai, sumber, buka",Neutral,Government
2022-11,Financial Investments and Large-scale Projects,6,"ikn, rp, triliun, presiden, kontrak, nusantara, karya, negara, waskita, rumah, gedung, olimpiade, nilai, istana, bumn, adhi, air, pt, jalan, persero, tbk, tender, konstruksi, paku, bendung, tuan, anggar, sekretariat, nila, kantor, ptpp, capai, total, oleh, laksana, huni, kawasan, pp, menang, dukung, bambang, bersih, giat, pupr, infrastruktur, target, wulandari, usaha, ioc, november","ikn, nusantara, rp, presiden, triliun, negara, rumah, pt, karya, gedung, nilai, jalan, infrastruktur, anggar, air, istana, balikpapan, kawasan, dukung, laksana, kantor, capai, jakarta, pupr, pusat, usaha, jokowi, utama, paku, target, kembang, direktur, milik, persen, investasi, dana, basuki, bambang, kabupaten, hasil, sambut, tingkat, cepat, siap, salah, sumber, sebut, harap, tol, tanah",Neutral,Government
2023-01,Financial Investments and Large-scale Projects,6,"ikn, rp, bendung, nusantara, triliun, rumah, paku, kontrak, semoi, miliar, asn, pt, karya, anggar, pupr, air, huni, pp, waskita, tower, negara, presisi, unit, konstruksi, capai, target, tbk, investor, nila, nilai, jalan, progres, persero, infrastruktur, biaya, gedung, adhi, persen, usaha, rusun, laksana, total, tapak, baku, apartemen, isi, sumber, dan, rakyat, paket","ikn, rp, nusantara, triliun, rumah, pt, paku, negara, pupr, anggar, karya, asn, air, capai, infrastruktur, target, investor, usaha, nilai, jalan, persen, laksana, gedung, kawasan, investasi, biaya, rakyat, butuh, direktur, apbn, jenderal, presiden, komisi, dpr, kantor, sumber, najam, basuki, dana, dukung, paser, utama, terang, salah, kabupaten, uang, ketua, sri, ri, program",Neutral,Government
2023-06,Financial Investments and Large-scale Projects,6,"rp, ikn, triliun, rumah, anggar, nusantara, hotel, pt, vasanta, group, sakit, hermina, negara, infrastruktur, karya, pupr, rs, ditjen, rusun, asn, miliar, direktur, persero, internasional, bina, tambah, paket, konstruksi, tbk, dana, dpr, kawasan, apbn, capai, persen, agustus, kontrak, utama, medikaloka, usaha, jakarta, investasi, total, iwan, mei, operasi, strategis, progres, bintang, badan","ikn, rp, rumah, nusantara, triliun, anggar, pt, negara, infrastruktur, pupr, karya, direktur, dpr, kawasan, capai, utama, persen, usaha, jakarta, rapat, asn, ri, target, dukung, dana, badan, apbn, jenderal, komisi, butuh, terang, investasi, rakyat, gedung, jalan, air, masyarakat, lingkung, tol, oikn, tuju, laksana, kutip, biaya, presiden, investor, istana, nasional, sumber, tahap",Neutral,Government
2023-07,Financial Investments and Large-scale Projects,6,"rp, ikn, triliun, waskita, kontrak, nusantara, air, gedung, jalan, pt, belanja, karya, miliar, nilai, capai, persero, tbk, negara, bendung, persen, paku, rumah, usaha, ptpp, juni, umkm, anggar, kantor, investor, infrastruktur, garap, pupr, potensi, beton, wege, oleh, wika, pos, segmen, bumn, semoi, kawasan, swasta, tol, bina, produk, agustus, ditjen, direktur, lps","ikn, rp, triliun, nusantara, pt, air, gedung, negara, karya, jalan, usaha, capai, persen, kantor, nilai, anggar, infrastruktur, direktur, paku, pupr, rumah, jakarta, jabat, target, pusat, dukung, utama, kawasan, milik, sumber, butuh, dana, presiden, balikpapan, jenderal, terang, desain, tol, apbn, oikn, investasi, uang, sesuai, investor, resmi, listrik, badan, dasar, rakyat, gelar",Neutral,Government
2023-08,Financial Investments and Large-scale Projects,6,"listrik, istana, presiden, ikn, pln, revitalisasi, rp, jakarta, triliun, nusantara, infrastruktur, negara, sistem, pratikno, anggar, pt, hasil, pupr, waskita, sekretaris, asn, karya, rusun, resmi, tower, persero, lman, andal, usaha, dana, lahan, rumah, teknologi, miliar, laba, dukung, sejarah, uang, lingkung, jalan, ramah, bendung, zaman, bumn, ptpp, signifikan, air, investasi, hankam, utama","ikn, nusantara, rp, listrik, negara, presiden, istana, triliun, infrastruktur, asn, anggar, jakarta, rumah, pt, pupr, usaha, dana, karya, dukung, hasil, apbn, investasi, resmi, uang, direktur, lahan, air, paku, bidang, jalan, rakyat, tingkat, utama, basuki, kawasan, oikn, capai, jokowi, target, investor, lingkung, butuh, sumber, laksana, dasar, persen, tahap, milik, badan, fasilitas",Positive,Government
2023-11,Financial Investments and Large-scale Projects,6,"ikn, listrik, pln, plts, jokowi, nusantara, presiden, bpjs, ketenagakerjaan, kantor, groundbreaking, energi, rumah, butuh, hijau, rp, sakit, lingkung, ramah, bas, investasi, kapasitas, penuh, bangkit, negara, mw, triliun, dukung, pt, bsi, konsep, darmawan, sistem, megawatt, utama, direktur, tenaga, masyarakat, surya, bank, kawasan, bersih, green, komitmen, pasok, serius, persen, baru, prasodjo, of","ikn, nusantara, jokowi, listrik, rp, presiden, groundbreaking, triliun, kantor, rumah, investasi, negara, pt, butuh, dukung, usaha, capai, kawasan, direktur, lingkung, infrastruktur, persen, konsep, pusat, masyarakat, utama, fasilitas, milik, nilai, gedung, investor, target, jakarta, tahap, jalan, masuk, hadir, anggar, karya, resmi, of, oikn, tingkat, biaya, orang, lanjut, city, apbn, kembang, dasar",Positive,Government
2020-02,Infrastructure and Housing Development,2,"bandara, manhattan, negara, kawasan, bappenas, ikn, hutan, lahan, nasional, konsep, pusat, jakarta, jalan, buka, hijau, inti, rudy, kembang, ruang, luas, gedung, balikpapan, karya, rth, kantor, badan, lokasi, one, samarinda, wilayah, bidang, budi, hubung, daerah, milik, klhk, persen, blok, deputi, amerika, serikat, internasional, prawiradinata, regional, masterplan, lapang, tata, bukit, soeharto, tanoto","negara, ikn, kawasan, bappenas, lahan, jakarta, balikpapan, nasional, hutan, jalan, buka, konsep, kembang, badan, wilayah, hubung, kantor, pusat, milik, daerah, persen, karya, tanah, bidang, gedung, lokasi, tol, lingkung, usaha, paser, masuk, pupr, masyarakat, ri, najam, siap, undang, bentuk, investasi, provinsi, suharso, satu, calon, desain, rapat, presiden, butuh, lanjut, target, investor",Neutral,Government
2021-03,Infrastructure and Housing Development,2,"presiden, mudah, kahuripan, telaga, istana, tol, negara, ikn, jalan, lahan, surya, tjandra, depok, konsep, agustus, laksana, kuripan, raya, revitalisasi, kembang, iai, nuarta, nyoman, kawasan, menang, sayembara, antasari, pintu, masterplan, sesuai, atrbpn, klaim, kondisi, wakil, wamen, provinsi, pt, urban, utama, andal, burung, garuda, gregorius, ketua, desain, gandeng, yulham, house, huni, landed","istana, presiden, negara, ikn, jalan, groundbreaking, tol, undang, kawasan, konsep, pupr, kembang, infrastruktur, lahan, hutan, balikpapan, uu, desain, rumah, sesuai, laksana, bappenas, rakyat, pt, lokasi, suharso, harap, karya, hubung, komisi, nasional, bidang, atur, wakil, proses, tanah, utama, sambut, wilayah, provinsi, lanjut, direktur, jenderal, dasar, bahas, masyarakat, siap, ketua, kabupaten, jawa",Positive,Government
2021-04,Infrastructure and Housing Development,2,"negara, istana, desain, presiden, suharso, ikn, sayembara, agustus, bappenas, karya, garuda, arsitek, jalan, adhi, libat, mudah, buka, kawasan, bahas, monoarfa, undang, nyoman, rumah, pupr, master, plan, rakyat, sesuai, tahap, pusat, lingkung, optimistis, burung, inti, gagas, entus, opsi, ppnkepala, ppnbappenas, groundbreaking, design, materi, selaras, urban, asosiasi, nuarta, utama, laksana, fasilitas, lahan","negara, istana, desain, ikn, suharso, bappenas, presiden, kawasan, lingkung, rumah, rakyat, jalan, hutan, pusat, karya, pupr, bahas, buka, undang, tahap, sesuai, nasional, bentuk, groundbreaking, lokasi, lahan, utama, direktur, laksana, wilayah, ri, target, milik, program, badan, jakarta, rancang, kembang, siap, gedung, terang, bidang, proses, city, dukung, fasilitas, salah, infrastruktur, jenderal, rp",Neutral,Government
2021-06,Infrastructure and Housing Development,2,"rumah, anggar, negara, pupr, ikn, dinas, target, bandara, paser, basuki, desain, dana, jabat, dukung, kawasan, asn, hubung, undang, alokasi, jenderal, apbn, kaji, teliti, kembang, rp, indikatif, pagu, rapat, eselon, lanjut, dpr, istana, lahan, khalawi, kpbu, skema, direktur, rakyat, komisi, triliun, dishub, badan, estate, food, infrastruktur, jakarta, dapat, abdul, hamid, ugm","rumah, negara, ikn, pupr, anggar, paser, desain, dana, hubung, target, kembang, basuki, jalan, jenderal, dukung, rapat, kawasan, asn, apbn, direktur, jabat, dpr, rakyat, rp, badan, tol, undang, komisi, istana, lanjut, jakarta, pusat, infrastruktur, cepat, proses, tahap, orang, lahan, siap, presiden, ri, triliun, kabupaten, karya, usaha, khusus, laksana, dasar, lokasi, tingkat",Neutral,Government
2021-08,Infrastructure and Housing Development,2,"jokowi, balikpapan, jalan, samarinda, tol, sodet, akses, km, presiden, seksi, tinjau, lokasi, prabowo, negara, damping, kaltim, ikn, operasi, resmi, ruas, tanah, infrastruktur, basuki, hadimuljono, lewat, rakyat, rumah, subianto, tahan, logistik, provinsi, pinggan, bawa, detail, wita, menhan, pupr, ada, sekretariat, cepat, kutip, rampung, pers, strategis, calon, jbs, pres, samboja, wilayah, pt","tol, balikpapan, jalan, negara, jokowi, ikn, presiden, anggar, lokasi, tanah, resmi, pupr, basuki, cepat, rp, rumah, rakyat, nasional, infrastruktur, triliun, uang, jakarta, provinsi, kembang, wilayah, milik, dana, giat, masuk, kawasan, pt, direktur, bappenas, laksana, kutip, jenderal, lahan, istana, masyarakat, harap, hubung, kunjung, calon, dki, bahas, jawa, utama, orang, dasar, rapat",Positive,Government
2021-12,Infrastructure and Housing Development,2,"ikn, undang, pupr, turki, jalan, satgas, laksana, tol, infrastruktur, negara, tunggu, uu, ketua, rumah, jenderal, akses, dan, basuki, sumadilaga, bina, marga, siap, bidang, hadimuljono, rakyat, tawar, hedy, tugas, sektor, lahan, putus, kunjung, delegasi, dpr, velix, rancang, tata, direktorat, direktur, kawasan, presiden, satu, bentuk, jawa, ri, ha, luas, laku, bahas, gerak","ikn, negara, infrastruktur, pupr, laksana, jalan, undang, tol, rumah, basuki, ketua, tugas, rakyat, bidang, jenderal, bentuk, kawasan, uu, satu, siap, tim, rancang, program, direktur, kunjung, ri, lahan, wilayah, kutip, milik, dpr, bahas, kembang, ruu, presiden, nomor, usaha, biaya, giat, kantor, resmi, jawa, investasi, paser, nasional, tanah, najam, lokasi, wakil, pusat",Neutral,Government
2022-01,Infrastructure and Housing Development,2,"ikn, tol, negara, pupr, infrastruktur, nusantara, air, istana, anggar, basuki, jalan, kawasan, laut, presiden, balikpapan, lahan, rumah, undang, dasar, wilayah, bsd, jembatan, rakyat, laksana, tunggu, ketua, najam, paser, tahap, bandara, hektare, kembang, teknologi, hadimuljono, program, prioritas, dan, milik, satgas, hubung, jokowi, lokasi, rp, pusat, siap, salah, luas, kantor, uang, dpr","ikn, negara, nusantara, pupr, infrastruktur, tol, kawasan, jalan, basuki, istana, presiden, anggar, rumah, air, balikpapan, tanah, kembang, najam, lokasi, paser, lahan, siap, rakyat, ketua, laksana, dasar, undang, hubung, pusat, wilayah, kantor, milik, butuh, rp, atur, uang, utama, jakarta, salah, tahap, program, titik, dpr, proses, uu, ri, nasional, lingkung, badan, jokowi",Neutral,Government
2022-03,Infrastructure and Housing Development,2,"ikn, tanah, sayembara, presiden, nusantara, kawasan, jokowi, gedung, istana, pupr, negara, daftar, konsep, rumah, buka, hutan, desain, wakil, basuki, kantor, ancang, ana, kompleks, pisah, milik, sofyan, jenderal, air, rakyat, karya, tahap, djalil, hadimuljono, cipta, kipp, undang, maret, alih, lahan, masyarakat, wilayah, april, ahli, ibadat, inti, city, wapres, infrastruktur, luas, direktur","ikn, nusantara, kawasan, tanah, presiden, pupr, negara, gedung, istana, rumah, desain, jokowi, konsep, wakil, kantor, hutan, milik, basuki, rakyat, jenderal, wilayah, karya, buka, tahap, masyarakat, lahan, rp, pusat, undang, proses, nasional, kembang, infrastruktur, air, direktur, jalan, city, jakarta, laksana, cepat, badan, selatan, satu, lingkung, gubernur, lokasi, bentuk, target, provinsi, dasar",Neutral,Government
2022-06,Infrastructure and Housing Development,2,"ikn, nusantara, pupr, tol, jalan, infrastruktur, had, presiden, agustus, basuki, jokowi, negara, tanah, dasar, rp, istana, bambang, kawasan, korea, target, tjahjanto, triliun, kantor, anggar, gedung, selatan, tahap, ribu, akses, hadimuljono, kompleks, sayembara, juli, desain, karya, butuh, rakyat, badan, rumah, atrbpn, balikpapan, pusat, lapang, basic, libat, tni, design, konsep, proses, dana","ikn, nusantara, pupr, presiden, negara, jalan, jokowi, tanah, infrastruktur, kawasan, istana, tol, basuki, dasar, gedung, kantor, lahan, tahap, rumah, rakyat, target, konsep, karya, nasional, selatan, desain, badan, rp, wakil, tni, salah, hutan, bambang, pusat, tugas, triliun, anggar, proses, hubung, jakarta, masyarakat, butuh, jenderal, laksana, dukung, air, direktur, kutip, jabat, kunjung",Neutral,Government
2022-10,Infrastructure and Housing Development,2,"ikn, nusantara, pupr, infrastruktur, basuki, presiden, tol, kawasan, jokowi, hgb, jalan, balikpapan, kantor, negara, pusat, rumah, kipp, dasar, bendung, huni, dukung, jakarta, konstruksi, kunjung, inti, jalur, ring, tampak, hak, samarinda, laut, badan, paku, hadimuljono, rusun, uang, investor, ojk, rakyat, target, gedung, tinjau, air, jaksa, uji, had, coba, jasa, mahendra, labuh","ikn, nusantara, pupr, infrastruktur, presiden, jalan, kawasan, negara, jokowi, tol, basuki, balikpapan, investor, pusat, rumah, jakarta, dasar, dukung, kantor, atur, siap, nasional, badan, gedung, kunjung, tanah, rakyat, paku, paser, salah, tahap, proses, wilayah, najam, target, air, lahan, kutip, kembang, hasil, milik, kabupaten, uang, lingkung, konsep, sesuai, buka, provinsi, harap, masyarakat",Neutral,Government
